key,x,y,xsize,ysize
ESCAPE,0,0,1,1
F1,1.8,0,1,1
F2,2.8,0,1,1
F3,3.8,0,1,1
F4,4.8,0,1,1
F5,6.5,0,1,1
F6,7.5,0,1,1
F7,8.5,0,1,1
F8,9.5,0,1,1
F9,11,0,1,1
F10,12,0,1,1
F11,13,0,1,1
F12,14,0,1,1
PRINTSCREEN,15.5,0,1,1
SCROLL,16.5,0,1,1
PAUSE,17.5,0,1,1
OEM8,0,1,1,1
ONE,1,1,1,1
TWO,2,1,1,1
THREE,3,1,1,1
FOUR,4,1,1,1
FIVE,5,1,1,1
SIX,6,1,1,1
SEVEN,7,1,1,1
EIGHT,8,1,1,1
NINE,9,1,1,1
ZERO,10,1,1,1
OEMMINUS,11,1,1,1
OEMPLUS,12,1,1,1
BACK,13,1,2,1
INS,14,1,1,1
HOME,15,1,1,1
PGUP,16,1,1,1
NUMLOCK,17,1,1,1
DIVIDE,18,1,1,1
MULTIPLY,19,1,1,1
SUBTRACT,20,1,1,1
TAB,0,2,1.5,1
Q,1.5,2,1,1
W,2.5,2,1,1
E,3.5,2,1,1
R,4.5,2,1,1
T,5.5,2,1,1
Y,6.5,2,1,1
U,7.5,2,1,1
I,8.5,2,1,1
O,9.5,2,1,1
P,10.5,2,1,1
OEMOPENBRACKETS,11.5,2,1,1
OEM6,12.5,2,1,1
ENTER,13,3,1.5,2
DEL,14,2,1,1
END,15,2,1,1
PGDN,16,2,1,1
NUMPAD7,17,2,1,1
NUMPAD8,18,2,1,1
NUMPAD9,19,2,1,1
ADD,20,2,1,2
CAPITAL,0,3,1.5,1
A,1.5,3,1,1
S,2.5,3,1,1
D,3.5,3,1,1
F,4.5,3,1,1
G,5.5,3,1,1
H,6.5,3,1,1
J,7.5,3,1,1
K,8.5,3,1,1
L,9.5,3,1,1
OEM1,10.5,3,1,1
OEMTILDE,11.5,3,1,1
OEM7,12.4,3,1,1
NUMPAD4,17,3,1,1
NUMPAD5,18,3,1,1
NUMPAD6,19,3,1,1
LSHIFTKEY,1,4,1.2,1
OEM5,1.5,4,1,1
Z,2.2,4,1,1
X,3.2,4,1,1
C,4.2,4,1,1
V,5.2,4,1,1
B,6.2,4,1,1
N,7.2,4,1,1
M,8.2,4,1,1
OEMCOMMA,9.2,4,1,1
OEMPERIOD,10.2,4,1,1
OEMQUESTION,11.2,4,1,1
RSHIFTKEY,13,4,2.6,1
UP,15,4,1,1
NUMPAD1,17,4,1,1
NUMPAD2,18,4,1,1
NUMPAD3,19,4,1,1
LCONTROLKEY,0,5,1.4,1
LWIN,1.4,5,1.2,1
LMENU,2,5,1.2,1
SPACE,5,5,5.8,1
RMENU,11,5,1.2,1
RWIN,12,5,1.2,1
APPS,13,5,1.2,1
RCONTROLKEY,14,5,1.8,1
LEFT,15.5,5,1,1
DOWN,16.5,5,1,1
RIGHT,17.5,5,1,1
NUMPAD0,18,5,1,1
DECIMAL,19,5,1,1
